"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Accuracy","Average Inference Time (ms)","Dataset Name","GPU Memory Usage (MB)","Max Swap Memory Usage (MB)","Model Size (MB)"
"HuggingFaceTB/SmolLM-360M in winogrande","running","-","","HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, winogrande","2025-02-03T10:02:10.000Z","2","","","","","","",""
"cerebras/Cerebras-GPT-256M in piqa","finished","-","","NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, piqa","2025-02-03T10:00:49.000Z","14","","49.2","8.161446910381317","piqa","1234.14599609375","","976.474853515625"
"cerebras/Cerebras-GPT-256M in boolq","finished","-","","NVIDIA A100-SXM4-80GB, boolq, cerebras/Cerebras-GPT-256M","2025-02-03T10:00:27.000Z","17","","38.1","10.619326430797576","boolq","1240.85986328125","","976.474853515625"
"cerebras/Cerebras-GPT-256M in social_i_qa","finished","-","","NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, social_i_qa","2025-02-03T10:00:05.000Z","13","","33.7","7.549233134269715","social_i_qa","1099.1728515625","","976.474853515625"
"cerebras/Cerebras-GPT-256M in allenai/ai2_arc","finished","-","","NVIDIA A100-SXM4-80GB, allenai/ai2_arc, cerebras/Cerebras-GPT-256M","2025-02-03T09:59:50.000Z","10","","26.49122807017544","8.22727586762947","allenai/ai2_arc","1118.91796875","","976.474853515625"
"cerebras/Cerebras-GPT-256M in openbookqa","finished","-","","NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, openbookqa","2025-02-03T09:59:33.000Z","10","","25","10.398672863960266","openbookqa","1101.32861328125","","976.474853515625"
"cerebras/Cerebras-GPT-256M in winogrande","finished","-","","NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, winogrande","2025-02-03T09:59:03.000Z","18","","49.56590370955012","9.18204961767701","winogrande","1075.111328125","","976.474853515625"
"EleutherAI/pythia-160m in piqa","finished","-","","EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, piqa","2025-02-03T09:57:34.000Z","16","","48.6","10.558637038707731","piqa","854.90869140625","","619.212890625"
"EleutherAI/pythia-160m in boolq","finished","-","","EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, boolq","2025-02-03T09:57:13.000Z","15","","38","8.951955466270446","boolq","858.85791015625","","619.212890625"
"EleutherAI/pythia-160m in social_i_qa","finished","-","","EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, social_i_qa","2025-02-03T09:56:50.000Z","13","","33","7.518681079387664","social_i_qa","734.2705078125","","619.212890625"
